# iteration,run time [seconds],cost
88100,2612.33,16.879891409
88200,2615.28,16.879887813
88300,2618.23,16.879884226
88400,2621.18,16.879880646
88500,2624.11,16.879877075
88600,2627.06,16.879873511
88700,2630.00,16.879869956
88800,2632.93,16.879866408
88900,2635.87,16.879862869
89000,2638.81,16.879859338
89100,2641.74,16.879855814
89200,2644.67,16.879852299
89300,2647.60,16.879848791
89400,2650.55,16.879845291
89500,2653.49,16.879841799
89600,2656.43,16.879838315
89700,2659.37,16.879834838
89800,2662.30,16.879831369
89900,2665.24,16.879827908
90000,2668.19,16.879824455
90100,2671.15,16.879821009
90200,2674.10,16.879817571
90300,2677.06,16.879814141
90400,2680.01,16.879810718
90500,2682.96,16.879807303
90600,2685.91,16.879803895
90700,2688.86,16.879800495
90800,2691.80,16.879797102
90900,2694.75,16.879793717
91000,2697.68,16.879790339
91100,2700.64,16.879786969
91200,2703.61,16.879783606
91300,2706.58,16.879780250
91400,2709.54,16.879776902
91500,2712.49,16.879773561
91600,2715.46,16.879770227
91700,2718.40,16.879766901
91800,2721.33,16.879763581
91900,2724.26,16.879760269
92000,2727.19,16.879756965
92100,2730.12,16.879753667
92200,2733.05,16.879750377
92300,2735.98,16.879747093
92400,2738.91,16.879743817
92500,2741.83,16.879740548
92600,2744.76,16.879737286
92700,2747.68,16.879734031
92800,2750.60,16.879730783
92900,2753.53,16.879727542
93000,2756.45,16.879724308
93100,2759.38,16.879721081
93200,2762.31,16.879717861
93300,2765.24,16.879714648
93400,2768.17,16.879711441
93500,2771.09,16.879708242
93600,2774.01,16.879705049
93700,2776.93,16.879701863
93800,2779.86,16.879698684
93900,2782.80,16.879695512
94000,2785.74,16.879692346
94100,2788.68,16.879689188
94200,2791.61,16.879686035
94300,2794.57,16.879682890
94400,2797.54,16.879679751
94500,2800.51,16.879676619
94600,2803.46,16.879673494
94700,2806.40,16.879670375
94800,2809.36,16.879667262
94900,2812.33,16.879664157
95000,2815.30,16.879661057
95100,2818.29,16.879657965
95200,2821.26,16.879654879
95300,2824.24,16.879651799
95400,2827.20,16.879648726
95500,2830.17,16.879645659
95600,2833.13,16.879642598
95700,2836.09,16.879639544
95800,2839.05,16.879636497
95900,2842.02,16.879633455
96000,2844.98,16.879630420
96100,2847.94,16.879627392
96200,2850.91,16.879624369
96300,2853.87,16.879621353
96400,2856.82,16.879618343
96500,2859.79,16.879615340
96600,2862.76,16.879612343
96700,2865.72,16.879609351
96800,2868.68,16.879606366
96900,2871.65,16.879603388
97000,2874.61,16.879600415
97100,2877.59,16.879597448
97200,2880.58,16.879594488
97300,2883.55,16.879591534
97400,2886.52,16.879588585
97500,2889.47,16.879585643
97600,2892.43,16.879582707
97700,2895.39,16.879579777
97800,2898.34,16.879576852
97900,2901.29,16.879573934
98000,2904.26,16.879571022
98100,2907.22,16.879568116
98200,2910.19,16.879565215
98300,2913.15,16.879562321
98400,2916.11,16.879559432
98500,2919.07,16.879556549
98600,2922.03,16.879553672
98700,2924.99,16.879550801
98800,2927.96,16.879547936
98900,2930.93,16.879545076
99000,2933.89,16.879542223
99100,2936.87,16.879539375
99200,2939.85,16.879536532
99300,2942.84,16.879533696
99400,2945.83,16.879530865
99500,2948.83,16.879528040
99600,2951.82,16.879525221
99700,2954.79,16.879522407
99800,2957.77,16.879519599
99900,2960.73,16.879516796
100000,2963.70,16.879513999
100100,2966.66,16.879511208
100200,2969.62,16.879508422
100300,2972.59,16.879505642
100400,2975.55,16.879502868
100500,2978.50,16.879500098
100600,2981.45,16.879497335
100700,2984.41,16.879494577
100800,2987.36,16.879491824
100900,2990.31,16.879489077
101000,2993.27,16.879486335
101100,2996.22,16.879483599
101200,2999.16,16.879480868
101300,3002.10,16.879478142
101400,3005.05,16.879475422
101500,3008.03,16.879472707
101600,3011.01,16.879469998
101700,3013.98,16.879467294
101800,3016.93,16.879464595
101900,3019.88,16.879461901
